Parameter,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-4.368760499165302,0.03702448170892572,-117.99653357772993,0.0,-4.441327149861058,-4.296193848469546
priorfydscr_transformed,-0.545234867762602,0.06139620659880163,-8.880595365206883,6.650345086376112e-19,-0.6655692214836336,-0.42490051404157037
mrfytdocc_transformed,-0.40945392145371967,0.08398691268506844,-4.875211010423463,1.0869220839328262e-06,-0.574065245489164,-0.24484259741827533
debt_yield_p1_transformed,-0.4486536718407479,0.09719326101842342,-4.616098556006919,3.910213058270228e-06,-0.6391489629768585,-0.25815838070463726
priorfyocc_transformed,-0.32619831277920847,0.06578311653906804,-4.9586935058858455,7.096882771972377e-07,-0.455130851986583,-0.19726577357183395
OLTV_transformed,-0.254262763372821,0.09548970341425711,-2.6627244014966567,0.007751086851413003,-0.4414191429591764,-0.06710638378646563
Division_transformed,-0.7476431571995167,0.08327182022490648,-8.978345317542342,2.7486922436786777e-19,-0.9108529257674274,-0.584433388631606
interestonly_transformed,-0.6866821082846847,0.17961032463416496,-3.8231772571166878,0.0001317429992438026,-1.0387118758191953,-0.3346523407501741
