Parameter,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-4.368760499165302,0.03702448170892571,-117.99653357772999,0.0,-4.441327149861058,-4.296193848469546
priorfydscr_transformed,-0.5452348677626019,0.06139620659880163,-8.880595365206881,6.650345086376304e-19,-0.6655692214836335,-0.42490051404157025
mrfytdocc_transformed,-0.4094539214537198,0.08398691268506846,-4.875211010423463,1.0869220839328262e-06,-0.5740652454891642,-0.2448425974182754
debt_yield_p1_transformed,-0.44865367184074806,0.09719326101842336,-4.616098556006923,3.910213058270142e-06,-0.6391489629768586,-0.2581583807046375
priorfyocc_transformed,-0.3261983127792086,0.065783116539068,-4.958693505885851,7.096882771972169e-07,-0.455130851986583,-0.19726577357183414
OLTV_transformed,-0.25426276337282094,0.09548970341425715,-2.662724401496655,0.007751086851413047,-0.4414191429591764,-0.0671063837864655
Division_transformed,-0.7476431571995166,0.0832718202249065,-8.978345317542336,2.7486922436787966e-19,-0.9108529257674274,-0.5844333886316058
interestonly_transformed,-0.6866821082846847,0.17961032463416493,-3.8231772571166887,0.00013174299924380195,-1.038711875819195,-0.33465234075017414
